trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,fixation.started,key_resp.started,fixation.stopped,key_resp.keys,key_resp.corr,key_resp.rt,tilt,participant,session,date,expName,psychopyVersion,frameRate,
0,0,0,0,70.82362189982086,71.75610230001621,71.82656549988315,down,1,1.7844044999219477,-5,987805,001,2022-09-15_09h53.32.879,Tutorial 2 Jemima R,2022.2.4,60.2385325763776,
1,0,1,0,73.56256919982843,74.55992379994132,74.55992379994132,up,1,0.73463169997558,0,987805,001,2022-09-15_09h53.32.879,Tutorial 2 Jemima R,2022.2.4,60.2385325763776,
2,0,2,0,75.32957549998537,76.31281499983743,76.32699959981255,up,1,6.562948300037533,0,987805,001,2022-09-15_09h53.32.879,Tutorial 2 Jemima R,2022.2.4,60.2385325763776,
3,0,3,0,82.89607489993796,83.87954430002719,83.89336639991961,up,1,1.4713276999536902,0,987805,001,2022-09-15_09h53.32.879,Tutorial 2 Jemima R,2022.2.4,60.2385325763776,
4,0,4,0,85.37902470002882,86.3627507998608,86.3768425998278,down,1,0.9655840001069009,-3,987805,001,2022-09-15_09h53.32.879,Tutorial 2 Jemima R,2022.2.4,60.2385325763776,
5,0,5,0,87.36330179986544,88.34588459995575,88.36006899992935,up,0,0.6844218999613076,-2,987805,001,2022-09-15_09h53.32.879,Tutorial 2 Jemima R,2022.2.4,60.2385325763776,
6,0,6,0,89.06304209982045,90.06043970002793,90.06043970002793,down,1,0.7272135999519378,-4,987805,001,2022-09-15_09h53.32.879,Tutorial 2 Jemima R,2022.2.4,60.2385325763776,
7,0,7,0,90.81258619995788,91.79628539993428,91.81042329990305,up,1,0.7420384001452476,0,987805,001,2022-09-15_09h53.32.879,Tutorial 2 Jemima R,2022.2.4,60.2385325763776,
8,0,8,0,92.56296399980783,93.54612329998054,93.56052659987472,up,1,0.715903399977833,0,987805,001,2022-09-15_09h53.32.879,Tutorial 2 Jemima R,2022.2.4,60.2385325763776,
9,0,9,0,94.29604299995117,95.2799425998237,95.29335259995423,down,1,0.6888884999789298,-5,987805,001,2022-09-15_09h53.32.879,Tutorial 2 Jemima R,2022.2.4,60.2385325763776,
10,0,10,0,95.99642779980786,96.97965639992617,96.99355659983121,up,1,0.6294720000587404,0,987805,001,2022-09-15_09h53.32.879,Tutorial 2 Jemima R,2022.2.4,60.2385325763776,
11,0,11,0,97.63028299994767,98.62688579992391,98.62688579992391,down,1,0.9996106000617146,-5,987805,001,2022-09-15_09h53.32.879,Tutorial 2 Jemima R,2022.2.4,60.2385325763776,
12,0,12,0,99.64611259987578,100.62945039989427,100.64355839998461,up,0,0.5109951999038458,-5,987805,001,2022-09-15_09h53.32.879,Tutorial 2 Jemima R,2022.2.4,60.2385325763776,
13,0,13,0,101.16256739990786,102.14649409987032,102.16024679993279,up,1,0.7729362000245601,0,987805,001,2022-09-15_09h53.32.879,Tutorial 2 Jemima R,2022.2.4,60.2385325763776,
14,0,14,0,102.9461962999776,103.9295522000175,103.94340729992837,down,1,0.795805900124833,3,987805,001,2022-09-15_09h53.32.879,Tutorial 2 Jemima R,2022.2.4,60.2385325763776,
15,0,15,0,104.74601639993489,105.72955899988301,105.74364569992758,up,1,0.7316457000561059,0,987805,001,2022-09-15_09h53.32.879,Tutorial 2 Jemima R,2022.2.4,60.2385325763776,
16,0,16,0,106.49596169986762,107.4792950998526,107.49328579986468,up,0,0.7781698000617325,-2,987805,001,2022-09-15_09h53.32.879,Tutorial 2 Jemima R,2022.2.4,60.2385325763776,
17,0,17,0,108.27918289997615,109.26297149993479,109.27695989981294,down,1,0.6820984999649227,-5,987805,001,2022-09-15_09h53.32.879,Tutorial 2 Jemima R,2022.2.4,60.2385325763776,
18,0,18,0,109.97972649987787,110.96315709990449,110.9772520000115,up,1,0.6439016999211162,0,987805,001,2022-09-15_09h53.32.879,Tutorial 2 Jemima R,2022.2.4,60.2385325763776,
19,0,19,0,111.62972049997188,112.61304569989443,112.62743019987829,up,0,2.074104900006205,-3,987805,001,2022-09-15_09h53.32.879,Tutorial 2 Jemima R,2022.2.4,60.2385325763776,
